timestamp,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastDayAvg,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastWeekAvg,10.150.3.100.443-SystemAggregateCUPS-CpuCupsLastWeekMax,10.150.3.100.443-SystemAggregateCUPS-IoCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-IoCupsLastWeekMax,10.150.3.100.443-SystemAggregateCUPS-MemCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-MemCupsLastWeekMax,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastDayAvg,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastDayMax,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastWeekAvg,10.150.3.100.443-SystemAggregateCUPS-SystemCupsLastWeekMax,10.150.3.100.443-FAN1A-CurrentReading,10.150.3.100.443-FAN1B-CurrentReading,10.150.3.100.443-FAN2A-CurrentReading,10.150.3.100.443-FAN2B-CurrentReading,10.150.3.100.443-FAN3A-CurrentReading,10.150.3.100.443-FAN3B-CurrentReading,10.150.3.100.443-FAN4A-CurrentReading,10.150.3.100.443-FAN4B-CurrentReading,10.150.3.100.443-PS1Status-InputVoltage,10.150.3.100.443-PS2Status-InputVoltage,10.150.3.100.443-PS1Voltage1-CurrentReading,10.150.3.100.443-PS2Voltage2-CurrentReading,10.150.3.100.443-CPU1Temp-CurrentReading,10.150.3.100.443-CPU2Temp-CurrentReading,10.150.3.100.443-InletTemp-CurrentReading
2019-07-12T19:15:30.004000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7568,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:16:00.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:16:30.007000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7740,9460,7740,9460,7740,208,208,208,208,34,35,21
2019-07-12T19:17:00.010000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9546,7740,9460,7740,9546,7740,9460,7740,208,208,208,208,34,34,21
2019-07-12T19:17:30.009000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,206,208,208,34,34,21
2019-07-12T19:18:00.017000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7740,9460,7740,9460,7740,9460,7740,208,208,208,208,34,34,21
2019-07-12T19:18:30.009000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7740,9460,7740,9460,7740,9460,7740,208,208,208,208,34,34,21
2019-07-12T19:19:00.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:19:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:20:00.003000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:20:30.006000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7568,9460,7654,9460,7654,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:21:00.005000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:21:30.006000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7568,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:22:00.007000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7568,9460,7654,9460,7654,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:22:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7568,9460,7654,9460,7568,9460,7654,208,208,208,208,34,35,21
2019-07-12T19:23:00.011000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,35,21
2019-07-12T19:23:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9374,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:24:00.011000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:24:30.008000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9460,7654,9460,7654,208,208,208,208,34,34,21
2019-07-12T19:25:00.007000000Z,4,98,3,98,9,9,70,70,5,99,2,99,9460,7654,9460,7654,9460,7568,9460,7654,208,208,208,208,34,34,21
